,id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp,sentiment,we_count,them_count
0,18059684816281581,1,True,True,False,0,❤️❤️❤️,2025-04-16T09:56:55.000Z,"{'label': 'positive', 'score': 0.9443865418434143}",0,0
1,18078007339742672,1,False,True,False,0,👏👏👏👏👏👏👏👏,2025-04-16T09:56:17.000Z,"{'label': 'positive', 'score': 0.9158021807670593}",0,0
2,17894322462199128,1,True,False,True,0,🔥👏,2025-04-16T10:01:41.000Z,"{'label': 'positive', 'score': 0.9557453989982605}",0,0
3,18073369624874273,233,True,False,True,1,“I’m a horrible person but I make it okay by showcasing my dog”,2025-04-16T09:59:00.000Z,"{'label': 'negative', 'score': 0.8309212923049927}",0,0
4,17859325476395396,93,True,True,False,2,The country is imploding and they are in there playing around with dogs.,2025-04-16T09:59:13.000Z,"{'label': 'negative', 'score': 0.9410051107406616}",0,1
5,18062205962019492,2,True,False,True,0,Great message 👏❤️,2025-04-16T10:05:23.000Z,"{'label': 'positive', 'score': 0.9776917695999146}",0,0
6,18326741518161813,44,True,True,False,4,So tf this mean??? President should be a dog to make us all happy?,2025-04-16T10:00:47.000Z,"{'label': 'negative', 'score': 0.4525824189186096}",1,0
7,18028796843392710,22,True,False,False,1,WTF and why #Distractions,2025-04-16T09:58:42.000Z,"{'label': 'negative', 'score': 0.8597761392593384}",0,0
8,18340214185085576,18,True,True,False,1,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,2025-04-16T10:02:55.000Z,"{'label': 'negative', 'score': 0.9349485635757446}",0,0
9,18075813403826612,1,True,False,False,0,❤️❤️❤️❤️,2025-04-16T09:55:26.000Z,"{'label': 'positive', 'score': 0.9504250288009644}",0,0
10,18062535917071553,73,True,True,False,1,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2025-04-16T10:01:21.000Z,"{'label': 'negative', 'score': 0.7896488308906555}",1,0
11,18054137039242023,4,True,True,False,0,Twins,2025-04-16T09:59:00.000Z,"{'label': 'neutral', 'score': 0.7760615348815918}",0,0
12,18043691231430347,12,False,True,False,0,none,2025-04-16T10:03:09.000Z,"{'label': 'neutral', 'score': 0.6332381367683411}",0,0
13,17963639696881391,2,True,True,False,0,We need term limits asap,2025-04-16T10:08:25.000Z,"{'label': 'neutral', 'score': 0.49867844581604004}",0,0
14,18391442602112033,3,True,True,False,0,He’s embarrassing,2025-04-16T10:02:32.000Z,"{'label': 'negative', 'score': 0.8951497673988342}",0,0
15,18026777324422613,12173,False,False,True,113,"No comments about the poor old man. He could have a broken hip, bone, or a concussion.",2025-04-16T00:47:04.000Z,"{'label': 'negative', 'score': 0.873942494392395}",1,0
16,17945783009973133,9066,True,True,False,185,"So what you were telling me is he was walking into court, in accordance with the United States legal process, and instead of getting to go to his hearing he’s been kidnapped and sent off to a detention center?",2025-04-16T00:50:15.000Z,"{'label': 'negative', 'score': 0.5961853265762329}",2,0
17,17975637284835389,5838,True,False,False,126,What the FUCK is going on in this country,2025-04-16T00:42:12.000Z,"{'label': 'negative', 'score': 0.9316998720169067}",0,0
18,17928783768044240,1521,True,False,False,21,Due process has left the chat,2025-04-16T01:14:49.000Z,"{'label': 'neutral', 'score': 0.8061901926994324}",0,0
19,17861086377391170,92,True,False,False,0,What’s the update on the poor innocent elderly bystander?,2025-04-16T01:30:59.000Z,"{'label': 'negative', 'score': 0.8600215315818787}",0,0
20,"1,81E+16",2201,True,False,False,18,Bystander just got paid,2025-04-16T00:42:23.000Z,"{'label': 'neutral', 'score': 0.6626310348510742}",1,0
21,18106680388494714,665,True,False,False,17,I bet these guys feel realllll cool,2025-04-16T00:49:54.000Z,"{'label': 'positive', 'score': 0.7130946516990662}",0,0
22,17891155668229832,680,True,True,False,3,Nobody checked on the poor old man on the floor!?,2025-04-16T00:53:21.000Z,"{'label': 'negative', 'score': 0.8958976864814758}",0,0
23,18103811962506972,198,True,False,True,2,That bystander needs to sue for this assault. Just ridiculous,2025-04-16T01:04:37.000Z,"{'label': 'negative', 'score': 0.9372498989105225}",2,0
24,18060886580282540,462,True,True,False,23,Is that man w the cane ok?!,2025-04-16T00:42:12.000Z,"{'label': 'negative', 'score': 0.48385557532310486}",0,0
25,18054085925229043,80,True,True,False,2,I hope the older gentleman sues.,2025-04-16T00:49:54.000Z,"{'label': 'negative', 'score': 0.6194475889205933}",0,0
26,17844813570447460,599,True,True,False,9,Prevent him from going to his court date?,2025-04-16T00:42:14.000Z,"{'label': 'neutral', 'score': 0.728689968585968}",1,0
27,18381068509189663,1182,True,True,False,8,Bystander needs to sue the sh!t out of these guys,2025-04-16T00:49:24.000Z,"{'label': 'negative', 'score': 0.87267005443573}",0,0
28,18075910312750292,829,True,False,False,10,This is wrong. This is so wrong.,2025-04-16T00:44:47.000Z,"{'label': 'negative', 'score': 0.9306752681732178}",0,0
